2026-08-10T09:11:35.899888 - Poll 18: Status=busy, TranscriptLen=0
2026-08-10T09:11:46.410322 - Poll 19: Status=busy, TranscriptLen=0
2026-08-10T09:11:57.354353 - Poll 20: Status=busy, TranscriptLen=0
2026-08-10T09:12:07.790746 - Poll 21: Status=busy, TranscriptLen=0
2026-08-10T09:12:18.505340 - Poll 22: Status=busy, TranscriptLen=0
2026-08-10T09:12:29.097551 - Poll 23: Status=busy, TranscriptLen=0
2026-08-10T09:12:39.689860 - Poll 24: Status=busy, TranscriptLen=0
2026-08-10T09:12:50.291868 - Poll 25: Status=busy, TranscriptLen=0
2026-08-10T09:13:01.469664 - Poll 26: Status=busy, TranscriptLen=0
2026-08-10T09:13:11.980113 - Poll 27: Status=busy, TranscriptLen=0
2026-08-10T09:13:22.787013 - Poll 28: Status=busy, TranscriptLen=0
2026-08-10T09:13:33.346960 - Poll 29: Status=busy, TranscriptLen=0
2026-08-10T09:13:43.949333 - Poll 30: Status=busy, TranscriptLen=0
2026-08-10T09:13:54.392168 - Poll 31: Status=busy, TranscriptLen=0
2026-08-10T09:19:56.211614 - Starting polling fallback for Execution 171b2b21-d14e-40bc-a68d-eb09b333d5f2 (Lead: call_1786353595056)
2026-08-10T09:19:56.219752 - Poll 32: Status=busy, TranscriptLen=0
2026-08-10T09:20:06.705963 - Poll 0: Status=ringing, TranscriptLen=0
2026-08-10T09:20:06.709577 - Poll 33: Status=busy, TranscriptLen=0
2026-08-10T09:20:17.223927 - Poll 1: Status=ringing, TranscriptLen=0
2026-08-10T09:20:17.235784 - Poll 34: Status=busy, TranscriptLen=0
2026-08-10T09:20:27.665961 - Poll 2: Status=busy, TranscriptLen=0
2026-08-10T09:20:27.697814 - Poll 35: Status=busy, TranscriptLen=0
2026-08-10T09:20:38.114403 - Poll 3: Status=busy, TranscriptLen=0
2026-08-10T09:20:38.132379 - Poll 36: Status=busy, TranscriptLen=0
2026-08-10T09:20:48.792182 - Poll 4: Status=busy, TranscriptLen=0
2026-08-10T09:20:49.069454 - Poll 37: Status=busy, TranscriptLen=0
2026-08-10T09:20:59.565516 - Poll 5: Status=busy, TranscriptLen=0
2026-08-10T09:20:59.806588 - Poll 38: Status=busy, TranscriptLen=0
2026-08-10T09:21:10.028516 - Poll 6: Status=busy, TranscriptLen=0
2026-08-10T09:21:10.241290 - Poll 39: Status=busy, TranscriptLen=0
2026-08-10T09:21:20.449154 - Poll 7: Status=busy, TranscriptLen=0
2026-08-10T09:21:20.634051 - Poll 40: Status=busy, TranscriptLen=0
2026-08-10T09:21:31.282906 - Poll 8: Status=busy, TranscriptLen=0
2026-08-10T09:21:31.419307 - Poll 41: Status=busy, TranscriptLen=0
2026-08-10T09:21:41.737868 - Poll 9: Status=busy, TranscriptLen=0
2026-08-10T09:21:41.918779 - Poll 42: Status=busy, TranscriptLen=0
2026-08-10T09:21:52.187974 - Poll 10: Status=busy, TranscriptLen=0
2026-08-10T09:21:52.350979 - Poll 43: Status=busy, TranscriptLen=0
2026-08-10T09:22:02.764676 - Poll 11: Status=busy, TranscriptLen=0
2026-08-10T09:22:02.765675 - Poll 44: Status=busy, TranscriptLen=0
2026-08-10T09:22:14.011548 - Poll 12: Status=busy, TranscriptLen=0
2026-08-10T09:22:14.031487 - Poll 45: Status=busy, TranscriptLen=0
2026-08-10T09:22:24.428954 - Poll 13: Status=busy, TranscriptLen=0
2026-08-10T09:22:24.445737 - Poll 46: Status=busy, TranscriptLen=0
2026-08-10T09:22:35.254801 - Poll 14: Status=busy, TranscriptLen=0
2026-08-10T09:22:35.263457 - Poll 47: Status=busy, TranscriptLen=0
2026-08-10T09:22:45.675723 - Poll 15: Status=busy, TranscriptLen=0
